Country,2011,2012,2013,2014,2015,2016
Afghanistan,6745740234,6666770020,5152540039,4942970215,4274229980,4069419922
Albania,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3
Algeria,193350006.1,147320007.3,203419998.2,160619995.1,71129997.25,144550003.1
American Samoa,0,0,0,0,0,0
Andorra,0,0,0,0,0,0
Angola,192940002.4,243610000.6,285540008.5,235389999.4,380059997.6,206529998.8
Antigua and Barbuda,15420000.08,2089999.91,1590000.03,2549999.95,1490000.01,180000.01
Argentina,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.89
Armenia,375989990.2,270559997.6,280359985.4,267429992.7,347480011,326429992.7
Aruba,0,0,0,0,0,0
Australia,0,0,0,0,0,0
Austria,0,0,0,0,0,0
Azerbaijan,287769989,286790008.5,-70830001.83,216740005.5,69580001.83,79430000.31
"Bahamas, The",0,0,0,0,0,0
Bahrain,0,0,0,0,0,0
Bangladesh,1437520020,2154050049,2633590088,2422639893,2592909912,2532820068
Barbados,0,0,0,0,0,0
Belarus,119800003.1,102870002.8,107139999.4,120610000.6,104580001.8,-22309999.47
Belgium,0,0,0,0,0,0
Belize,20989999.77,26209999.08,51270000.46,37560001.37,28270000.46,34959999.08
Benin,672609985.4,507880004.9,660200012.2,599320007.3,436630004.9,500760009.8
Bermuda,0,0,0,0,0,0
Bhutan,118650001.5,161649993.9,136800003.1,130639999.4,97279998.78,51599998.47
Bolivia,545969970.7,661719970.7,702299987.8,674559997.6,791309997.6,696510009.8
Bosnia and Herzegovina,625780029.3,568020019.5,521210022,630200012.2,356390014.7,446119995.1
Botswana,118500000,73069999.69,107370002.8,99370002.75,65540000.92,90569999.69
Brazil,840690002.4,1288540039,1155729980,914150024.4,1003190002,674630004.9
Brunei Darussalam,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0
Burkina Faso,981979980.5,1152319946,1045079956,1123359985,998390014.7,1029479980
Burundi,572239990.2,524169982.9,558830017.1,515400024.4,366559997.6,742640014.7
Cabo Verde,251369995.1,245639999.4,245160003.7,231389999.4,153250000,115239997.9
Cambodia,691950012.2,807690002.4,808210022,802679992.7,679039978,728450012.2
Cameroon,612080017.1,597169982.9,751960022,856119995.1,664119995.1,756609985.4
Canada,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0
Central African Republic,268769989,228020004.3,202820007.3,611000000,486730011,506760009.8
Chad,457660003.7,475130004.9,459339996.3,391929992.7,606409973.1,624460022
Chile,161199997,128080001.8,80559997.56,245580001.8,54330001.83,178440002.4
China,-603609985.4,-180529998.8,-656549987.8,-947070007.3,-306290008.5,-791429992.7
Colombia,1013590027,764250000,857489990.2,1224170044,1355920044,1106500000
Comoros,55349998.47,101610000.6,81230003.36,74949996.95,65779998.78,53750000
"Congo, Dem. Rep.",5526459961,2846169922,2584010010,2400020020,2599040039,2102330078
"Congo, Rep.",261239990.2,140130004.9,150990005.5,106180000.3,88800003.05,87050003.05
Costa Rica,35549999.24,28459999.08,32819999.69,54549999.24,111300003.1,100720001.2
Cote d'Ivoire,1437709961,2908350098,1273459961,925039978,651669982.9,615789978
Croatia,0,0,0,0,0,0
Cuba,87279998.78,85760002.14,99459999.08,261540008.5,557960022,2698110107
Curacao,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0
Denmark,0,0,0,0,0,0
Djibouti,141399993.9,148460006.7,149250000,166110000.6,173389999.4,185350006.1
Dominica,24440000.53,25680000.31,20079999.92,16290000.92,11710000.04,8569999.69
Dominican Republic,242619995.1,260119995.1,146910003.7,166210006.7,279959991.5,176699997
Ecuador,181300003.1,148059997.6,150520004.3,165050003.1,318160003.7,243710006.7
"Egypt, Arab Rep.",423730011,1813430054,5512509766,3537600098,2524530029,2437350098
El Salvador,297390014.7,219910003.7,169139999.4,98069999.69,89699996.95,128970001.2
Equatorial Guinea,24549999.24,14449999.81,4630000.11,519999.98,7489999.77,6920000.08
Eritrea,133410003.7,135970001.2,81309997.56,84190002.44,93919998.17,66819999.69
Estonia,0,0,0,0,0,0
Eswatini,124089996.3,89620002.75,117790000.9,86370002.75,92629997.25,147639999.4
Ethiopia,3495889893,3243290039,3885540039,3583959961,3238889893,4084370117
Faroe Islands,0,0,0,0,0,0
Fiji,75389999.39,105370002.8,91220001.22,94239997.86,102480003.4,117419998.2
Finland,0,0,0,0,0,0
France,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0
Gabon,69449996.95,68849998.47,87209999.08,111269996.6,98779998.78,41619998.93
"Gambia, The",135710006.7,138979995.7,112300003.1,100339996.3,113940002.4,91989997.86
Georgia,545059997.6,659190002.4,646309997.6,563760009.8,448929992.7,462739990.2
Germany,..,..,..,..,..,..
Ghana,1803869995,1799290039,1328170044,1123130005,1770479980,1318650024
Gibraltar,0,0,0,0,0,0
Greece,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Grenada,12029999.73,7659999.85,12529999.73,39709999.08,24100000.38,8579999.92
Guatemala,353570007.3,304890014.7,496600006.1,279839996.3,411290008.5,265450012.2
Guinea,202119995.1,633359985.4,467540008.5,563119995.1,538929992.7,567059997.6
Guinea-Bissau,120639999.4,80319999.69,105629997.3,110250000,95040000.92,196820007.3
Guyana,105620002.8,114919998.2,101239997.9,160610000.6,32139999.39,70019996.64
Haiti,1506459961,1273349976,1152130005,1082359985,1045859985,1071680054
Honduras,359250000,566190002.4,625869995.1,606280029.3,540599975.6,412399993.9
"Hong Kong SAR, China",0,0,0,0,0,0
Hungary,0,0,0,0,0,0
Iceland,0,0,0,0,0,0
India,3270219971,1681849976,2456340088,2991820068,3174350098,2679040039
Indonesia,358109985.4,69010002.14,69470001.22,-381940002.4,-28459999.08,-108279998.8
"Iran, Islamic Rep.",105790000.9,151789993.3,131610000.6,81169998.17,110900001.5,116190002.4
Iraq,1914689941,1300880005,1541540039,1369270020,1482939941,2287899902
Ireland,0,0,0,0,0,0
Israel,0,0,0,0,0,0
Italy,0,0,0,0,0,0
Jamaica,41029998.78,28059999.47,71589996.34,95989997.86,59069999.69,26850000.38
Japan,0,0,0,0,0,0
Jordan,974099975.6,1157500000,1400329956,2697159912,2141050049,2727969971
Kazakhstan,201029998.8,131860000.6,90760002.14,92800003.05,81699996.95,62779998.78
Kenya,2478820068,2653659912,3306840088,2661030029,2463560059,2188389893
Kiribati,64540000.92,65669998.17,64989997.86,80660003.66,64949996.95,60840000.15
"Korea, Dem. People’s Rep.",118489997.9,97870002.75,109099998.5,153529998.8,131429992.7,119650001.5
"Korea, Rep.",0,0,0,0,0,0
Kosovo,583179992.7,566739990.2,568549987.8,579390014.7,437809997.6,370029998.8
Kuwait,0,0,0,0,0,0
Kyrgyz Republic,437859985.4,470489990.2,539450012.2,626570007.3,774710022,519489990.2
Lao PDR,371950012.2,410700012.2,423329986.6,474420013.4,471089996.3,399459991.5
Latvia,0,0,0,0,0,0
Lebanon,475489990.2,711580017.1,621599975.6,820950012.2,965609985.4,1129339966
Lesotho,256769989,276260009.8,320670013.4,107169998.2,86489997.86,112069999.7
Liberia,762250000,566710022,535929992.7,749590026.9,1094430054,819179992.7
Libya,641099975.6,87120002.75,128830001.8,210279998.8,157369995.1,179490005.5
Liechtenstein,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0
"Macao SAR, China",0,0,0,0,0,0
Madagascar,447279998.8,368489990.2,499279998.8,588119995.1,677510009.8,621580017.1
Malawi,798280029.3,1170910034,1132550049,931159973.1,1049380005,1241609985
Malaysia,40810001.37,18319999.69,-113309997.6,19920000.08,-600000.02,-51819999.69
Maldives,49830001.83,56729999.54,21700000.76,22540000.92,23989999.77,22709999.08
Mali,1267619995,995580017.1,1397560059,1235839966,1201640015,1205160034
Malta,0,0,0,0,0,0
Marshall Islands,84519996.64,83849998.47,93739997.86,55700000.76,57060001.37,12560000.42
Mauritania,381720001.2,409790008.5,294739990.2,260709991.5,329459991.5,307290008.5
Mauritius,185690002.4,176679992.7,145740005.5,44590000.15,78419998.17,42340000.15
Mexico,967020019.5,407929992.7,562390014.7,814890014.7,321070007.3,809340026.9
"Micronesia, Fed. Sts.",130639999.4,143259994.5,143210006.7,117010002.1,81389999.39,50830001.83
Moldova,461690002.4,475489990.2,348690002.4,517799987.8,312579986.6,262049987.8
Mongolia,337450012.2,446529998.8,430519989,316910003.7,236339996.3,325670013.4
Montenegro,126629997.3,103089996.3,117180000.3,100419998.2,99959999.08,85730003.36
Morocco,1440239990,1471140015,2008650024,2240149902,1518280029,2062310059
Mozambique,2065469971,2071699951,2312699951,2106010010,1819119995,1533770020
Myanmar,379950012.2,504529998.8,3936120117,1384459961,1168500000,1536660034
Namibia,278209991.5,252440002.4,261040008.5,226220001.2,142380004.9,170190002.4
Nauru,37529998.78,35619998.93,28750000,22520000.46,31250000,22680000.31
Nepal,749320007.3,769679992.7,873330017.1,883820007.3,1224439941,1064500000
Netherlands,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0
Nicaragua,536580017.1,532320007.3,495799987.8,432170013.4,457920013.4,430980011
Niger,644669982.9,891140014.7,797299987.8,917780029.3,869280029.3,952479980.5
Nigeria,1809859985,1916170044,2515719971,2478600098,2431540039,2498189941
North Macedonia,192289993.3,147710006.7,196729995.7,211919998.2,214320007.3,168350006.1
Northern Mariana Islands,0,0,0,0,0,0
Norway,0,0,0,0,0,0
Oman,0,0,0,0,0,0
Pakistan,3714360107,2017410034,2194469971,3615820068,3764020020,2961110107
Palau,24520000.46,15460000.04,35419998.17,23479999.54,13930000.31,17799999.24
Panama,110940002.4,51349998.47,9210000.04,-193259994.5,10250000,22610000.61
Papua New Guinea,616479980.5,670270019.5,657440002.4,581909973.1,591390014.7,531580017.1
Paraguay,79980003.36,104569999.7,130710006.7,62419998.17,60180000.31,88540000.92
Peru,590719970.7,385559997.6,363660003.7,328299987.8,334829986.6,320200012.2
Philippines,-135869995.1,-3369999.89,192059997.6,677440002.4,514950012.2,283649993.9
Poland,0,0,0,0,0,0
Portugal,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0
Qatar,0,0,0,0,0,0
Romania,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0
Rwanda,1263209961,878640014.7,1086290039,1035030029,1088439941,1150469971
Samoa,88800003.05,117290000.9,113010002.1,93989997.86,93720001.22,88639999.39
San Marino,0,0,0,0,0,0
Sao Tome and Principe,73480003.36,50700000.76,53750000,41380001.07,48950000.76,47040000.92
Saudi Arabia,0,0,0,0,0,0
Senegal,1054599976,1075780029,994479980.5,1108680054,869400024.4,731219970.7
Serbia,1379170044,1087780029,780270019.5,367049987.8,312480011,633469970.7
Seychelles,22719999.31,34750000,27420000.08,12000000,6780000.21,5800000.19
Sierra Leone,423890014.7,439750000,449070007.3,914030029.3,946820007.3,693260009.8
Singapore,0,0,0,0,0,0
Sint Maarten (Dutch part),0,0,0,0,0,0
Slovak Republic,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0
Solomon Islands,327880004.9,305100006.1,289829986.6,200520004.3,190029998.8,175500000
Somalia,1098979980,990460022,1054579956,1109199951,1260560059,1183640015
South Africa,1396969971,1065829956,1295339966,1077400024,1420270020,1180280029
South Sudan,435829986.6,1186260010,1399300049,1964119995,1674829956,1587030029
Spain,0,0,0,0,0,0
Sri Lanka,612640014.7,490890014.7,403170013.4,491630004.9,445010009.8,373480011
St. Kitts and Nevis,15760000.23,21739999.77,30049999.24,22516666.41,24768888.47,25778518.04
St. Lucia,35290000.92,26799999.24,25360000.61,19370000.84,13760000.23,15229999.54
St. Martin (French part),0,0,0,0,0,0
St. Vincent and the Grenadines,17760000.23,8310000.42,8520000.46,9890000.34,13500000,9119999.89
Sudan,1742400024,1369130005,1507329956,874679992.7,969700012.2,809090026.9
Suriname,76330001.83,40349998.47,30819999.69,13390000.34,15979999.54,16530000.69
Sweden,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0
Syrian Arab Republic,335519989,1671599976,3637929932,4174310059,4920470215,8899750000
Tajikistan,282130004.9,394230011,390549987.8,356459991.5,432250000,359730011
Tanzania,2441830078,2822229980,3433239990,2650520020,2584709961,2317889893
Thailand,-134119995.1,-131369995.1,28790000.92,354510009.8,58669998.17,227779998.8
Timor-Leste,275720001.2,283640014.7,258570007.3,249539993.3,212289993.3,223699997
Togo,542380004.9,245080001.8,226320007.3,210940002.4,199470001.2,168250000
Tonga,88559997.56,78180000.31,81089996.34,80330001.83,68400001.53,82610000.61
Trinidad and Tobago,0,0,0,0,0,..
Tunisia,925229980.5,1022130005,714659973.1,922700012.2,495869995.1,646820007.3
Turkey,3288270020,3112169922,2847840088,3446770020,2141260010,3609090088
Turkmenistan,40819999.69,37659999.85,35909999.85,34479999.54,22950000.76,32229999.54
Turks and Caicos Islands,0,0,0,0,0,0
Tuvalu,37250000,25479999.54,27590000.15,34299999.24,49650001.53,24440000.53
Uganda,1572920044,1642500000,1697089966,1633680054,1638160034,1762599976
Ukraine,777929992.7,772059997.6,790739990.2,1403819946,1449349976,1523319946
United Arab Emirates,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0
United States,0,0,0,0,0,0
Uruguay,18229999.54,17360000.61,36520000.46,91569999.69,23180000.31,18250000
Uzbekistan,143779998.8,255910003.7,295160003.7,324670013.4,451000000,511049987.8
Vanuatu,92889999.39,101940002.4,91339996.34,100410003.7,186559997.6,129130004.9
"Venezuela, RB",48990001.68,50790000.92,37830001.83,43130001.07,36590000.15,43430000.31
Vietnam,3332000000,4113310059,4085600098,4215620117,3167389893,2906070068
West Bank and Gaza,2434739990,2006109985,2602330078,2487840088,1872209961,2401659912
"Yemen, Rep.",477549987.8,711820007.3,1039630005,1163439941,1778410034,2301110107
Zambia,1033469971,957140014.7,1145250000,997729980.5,797140014.7,966460022
Zimbabwe,722580017.1,1001590027,827539978,760570007.3,788289978,654250000
