Country,2011,2012,2013,2014,2015,2016
Afghanistan,12240.45,10755.31,9050.16,8467.1,9035.49,8672.46
Albania,5240.14,4924.78,4913.78,5489.5,4616.75,4536.08
Algeria,121187.02,129987.82,134465.22,145411.22,153133.92,150005.97
Andorra,491.38,487.71,476.71,462.04,465.71,469.38
Angola,30586.45,34176.44,33692.4,44851.08,34583.48,34693.49
Antigua and Barbuda,513.38,524.38,524.38,528.05,546.38,557.38
Argentina,191622.75,193027.21,193701.94,195777.46,201167.95,201347.64
Armenia,4917.45,5694.85,5496.83,5529.84,4803.77,5155.8
Aruba,2500.89,1349.46,861.75,872.75,898.42,883.75
Australia,391818.95,388126.28,372317.84,361316.84,365332.21,375907.84
Austria,65063.58,62324.33,62529.68,58903.02,61264.57,61447.92
Azerbaijan,33248.69,35397.55,35496.56,37385.07,37597.75,37619.75
"Bahamas, The",1800.5,1906.84,2871.26,2350.55,2016.85,1785.83
Bahrain,28848.29,27553.84,31407.86,31367.52,32892.99,31693.88
Bangladesh,63233.75,67670.82,69456.65,73758.04,81073.7,84245.66
Barbados,1529.14,1470.47,1448.47,1254.11,1254.11,1276.12
Belarus,64062.49,62969.72,63054.07,62801.04,58279.63,58279.63
Belgium,99969.75,95132.98,97501.86,93563.51,99346.36,96889.47
Belize,601.39,476.71,513.38,495.05,579.39,568.39
Benin,5060.46,4803.77,5042.13,5375.82,6065.22,6475.92
Bermuda,443.71,366.7,509.71,649.06,557.38,612.39
Bhutan,733.4,836.08,920.42,1037.76,1067.1,1261.45
Bolivia,16299.82,18819.04,19149.07,20329.85,20073.16,21605.96
Bosnia and Herzegovina,23886.84,22258.69,21921.33,19424.1,18569.69,21847.99
Botswana,4033.7,5082.46,5669.18,6857.29,5430.83,6340.24
Brazil,439412.94,470028.73,503677.12,533530.17,504388.52,462298.69
British Virgin Islands,201.69,201.69,201.69,212.69,212.69,212.69
Brunei Darussalam,9695.55,9666.21,7803.38,9053.82,7073.64,7664.03
Bulgaria,49354.15,44862.08,39599.93,42328.18,44737.4,41708.46
Burkina Faso,2200.2,2698.91,2929.93,2959.27,3329.64,3417.64
Burundi,425.37,388.7,410.7,385.04,403.37,495.05
Cabo Verde,616.06,506.05,498.71,491.38,495.05,542.72
Cambodia,5218.14,5456.5,5603.18,6684.94,8628.45,9919.24
Cameroon,6299.91,6024.88,5020.12,6798.62,7928.05,8291.09
Canada,522774.85,517721.73,519188.53,540614.81,549430.28,544894.2
Cayman Islands,586.72,535.38,535.38,546.38,557.38,546.38
Central African Republic,278.69,293.36,286.03,289.69,293.36,297.03
Chad,821.41,920.42,964.42,1001.09,1001.09,1015.76
Chile,79243.87,80974.69,83226.23,79100.86,83244.57,85822.47
China,9733538.12,10028573.94,10258007.13,10291926.88,10145004.86,9893037.95
Colombia,76926.33,80186.29,92734.76,86680.55,94109.89,97813.56
Comoros,135.68,143.01,176.02,154.01,168.68,201.69
"Congo, Dem. Rep.",2493.56,2405.55,3589.99,4671.76,2838.26,2020.52
"Congo, Rep.",2251.54,2962.94,3237.96,3157.29,3230.63,3281.97
Costa Rica,7374.34,7337.67,7719.04,7843.71,7513.68,8023.4
Cote d'Ivoire,7245.99,9292.18,10681.97,11089.01,10960.66,9673.55
Croatia,19915.48,18045.31,17601.6,16904.87,17311.91,17487.92
Cuba,29380,29746.7,27953.54,27623.51,29244.33,28283.57
Curacao,5776.26,5999.21,5214.47,5881.87,6395.25,5390.49
Cyprus,7425.68,6919.63,5947.87,6061.55,6138.56,6626.27
Czech Republic,107993.15,103350.73,102012.27,97160.83,99852.41,102217.63
Denmark,40656.03,36427.98,37253.05,33146.01,30817.47,31785.56
Djibouti,473.04,480.38,572.05,612.39,627.06,619.72
Dominica,154.01,165.02,168.68,176.02,176.02,179.68
Dominican Republic,21767.31,21965.33,21473.95,22145.01,24136.19,25258.3
Ecuador,36482.98,32526.29,41451.77,46152.86,43270.6,41154.74
"Egypt, Arab Rep.",217412.76,220108.01,214402.16,227852.71,224581.75,238560.35
El Salvador,6648.27,6662.94,6230.23,6285.24,6849.96,7168.99
Equatorial Guinea,9398.52,6985.64,7700.7,7308.33,6028.55,5654.51
Eritrea,579.39,645.39,652.73,711.4,693.06,711.4
Estonia,18096.65,17146.89,19332.42,18173.65,16362.15,16589.51
Eswatini,1074.43,1235.78,1525.47,902.08,982.76,1155.11
Ethiopia,7135.98,8518.44,10410.61,12434.8,13718.25,14869.69
Faroe Islands,568.39,590.39,678.4,597.72,608.72,630.72
Fiji,1089.1,1059.76,1338.46,1646.48,2156.2,2046.19
Finland,56662.48,49013.12,47164.95,47230.96,42606.87,45870.5
France,331804.83,333227.62,334096.7,303275.57,325601.18,325601.18
French Polynesia,773.74,751.74,759.07,737.07,766.4,770.07
Gabon,4950.45,5056.79,5280.48,5324.48,5262.15,5320.82
"Gambia, The",447.37,454.71,432.71,513.38,524.38,531.72
Georgia,7990.39,8445.1,8203.08,8980.48,9798.22,10128.25
Germany,729810.01,738141.43,757961.57,720363.82,727045.09,727972.84
Ghana,11525.38,14862.35,14682.67,15265.72,16552.84,16670.18
Gibraltar,451.04,462.04,491.38,528.05,579.39,634.39
Greece,79841.59,80050.61,69474.98,67527.81,65059.91,62434.34
Greenland,707.73,568.39,553.72,506.05,509.71,509.71
