Country,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
Afghanistan,1699.49,1914.77,2015.51,2069.42,2087.31,1981.11
Albania,10207.73,10526.32,10570.97,11259.3,11658.87,12078.8
Algeria,13500.04,13303.33,13056.8,13003.27,12015.63,11624.34
Angola,6710.75,7412.97,7682.48,8179.3,7337.57,7103.23
Antigua and Barbuda,20347.18,19597.59,18796.39,19039,18912.32,19918.79
Argentina,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87
Armenia,8025.45,9364.41,9835.83,10036.89,9969.69,10704.23
Aruba,34326.14,33569.19,36477.78,36444.26,36765.12,37359.37
Australia,41965.36,42826.79,45902.05,46880.22,46288.33,47339.97
Austria,44452.73,46457.35,47922.05,48799.72,49865.9,52684.02
Azerbaijan,14804.57,15957.72,17188.95,17443.88,14938.4,14371.02
"Bahamas, The",31522.61,32216.43,31872.49,33154,33423.71,34154.26
Bahrain,47377.57,50675.58,51494.41,51101.9,45575.85,44769.03
Bangladesh,2620.82,2937.59,3143.52,3368,3555.51,3849.11
Barbados,16304.38,15310.01,15334.72,15175.5,15510.82,15952.07
Belarus,16543.04,18071.51,18948.47,18955.91,18041.24,17725.75
Belgium,40942.37,42290.76,43671.12,44929.69,46200.9,48597.4
Belize,7684.82,7272.87,7226.99,7170.53,7244.39,7179.46
Benin,2416.33,2498.5,2669.69,2833.41,2886.83,3004.81
Bermuda,69998.84,67453.82,68993.23,68775.45,71873.23,76362.05
Bhutan,7295.84,7912.13,7989.66,8666.42,9500.77,10457.2
Bolivia,5460.26,5921.65,6624.81,7056.83,7133.87,7499.78
Bosnia and Herzegovina,9976.45,10304.08,11016.54,11433.22,12010.72,13072.12
Botswana,14252.71,13590.52,14707.7,16300.87,15547.16,17260.3
Brazil,15040.06,15046.29,15588.73,15718.57,14744.11,14256.16
Brunei Darussalam,83935.01,88247.73,83787.06,81373.02,62541.68,56296.02
Bulgaria,15667.31,16247.49,16588.93,17561.38,18343.11,20019.59
Burkina Faso,1586.57,1619.4,1683.11,1692.3,1713.52,1895.29
Burundi,681.97,690.69,740.98,777.04,841.65,796.94
Cabo Verde,5966.87,5818.97,5792.83,5748.17,5994.37,6322.84
Cambodia,2611.31,2868.74,3045.59,3185.34,3388.74,3675.04
Cameroon,2773.9,2855.45,3002.61,3185.36,3260.52,3405.06
Canada,41569.45,42290.97,44298.58,45753.75,44670.08,46472.34
Cayman Islands,64013.64,62801.23,62441.05,63067.42,64230.41,66634.23
Central African Republic,1012.66,1102.03,738.48,720.32,787.01,851.07
Chad,1797.75,1730.79,1569.06,1677.09,1820.06,1664.51
Chile,20342.57,21507.71,22439.28,22786.66,22698.55,23437.6
China,10299.87,11197.6,11923.75,12549.77,12978.77,13572.62
Colombia,11604.1,12018.65,12727.76,13307.42,13265.8,13859.09
Comoros,2337.06,2511.49,2636.49,2716.83,2709.6,2863.87
"Congo, Dem. Rep.",668.94,669.57,753.49,849.76,905.45,963.67
"Congo, Rep.",5428.24,6335.78,6069,5888.28,4664.32,3883.58
Costa Rica,13387.57,14091.53,14651.15,15622.93,16586.35,18608.58
Cote d'Ivoire,2404.04,2626.07,2828.4,3127.48,4652.89,4726.98
Croatia,20804.39,21168.85,21820.52,22060.74,23005.1,24876.31
Curacao,27224.4,26175.49,25921.16,25379.3,25090.21,24808.4
Cyprus,33313.58,31834.68,30375.11,30042.83,31722.22,35388.83
Czech Republic,29001.37,29254.73,30818.11,32502.48,33899.29,36097.71
