,Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016),Aided,logAssist,logCO2,logEmploy,logGDP
0,Aruba,0.0,1227.836667,0.0,35823.64333,Not aided,-inf,7.113009092531838,-inf,10.486363382614341
1,Australia,0.0,375803.3267,20.17166678,45200.45333,Not aided,-inf,12.836821218237382,3.004278985140899,10.718862395194806
2,Austria,0.0,61922.18332999999,25.84833336,48363.62833,Not aided,-inf,11.033633768139389,3.2522461253749655,10.786503329416375
3,"Bahamas, The",0.0,2121.9716670000007,15.44000006,32723.91667,Not aided,-inf,7.6601009670583995,2.7369615484826406,10.395861486181257
4,Bahrain,0.0,30627.39667,35.17166646,48499.05667,Not aided,-inf,10.329650203397227,3.5602408283602247,10.789299626633326
5,Barbados,0.0,1372.07,19.02499994,15597.91667,Not aided,-inf,7.224075827392497,2.9457539005940045,9.65489263752459
6,Belgium,0.0,97067.32167,21.79500008,44438.70667,Not aided,-inf,11.483160054587692,3.0816805893609227,10.701866140494786
7,Bermuda,0.0,523.1583333000002,0.0,70576.10333,Not aided,-inf,6.259884158783627,-inf,11.164446886439093
8,Brunei Darussalam,0.0,8492.771667,18.34666634,76030.08667,Not aided,-inf,9.046970688572262,2.909447887151746,11.238884418166592
9,Bulgaria,0.0,43765.03333,30.46333345,17404.635,Not aided,-inf,10.68659045173371,3.4165237784457414,9.764491829040296
10,Canada,0.0,532437.4,20.14166673,44175.86167,Not aided,-inf,13.185220610969708,3.0027906410658307,10.69593380282675
11,Cayman Islands,0.0,551.27,0.0,63864.66333,Not aided,-inf,6.312224707282048,-inf,11.064521487874476
12,Croatia,0.0,17877.84833,27.35833295,22289.31833,Not aided,-inf,9.79131770200067,3.309021160707972,10.011862844037
13,Curacao,0.0,5776.258333,0.0,25766.49333,Not aided,-inf,8.6615114048149,-inf,10.156830218717895
14,Cyprus,0.0,6519.926667,18.0716664,32112.875,Not aided,-inf,8.782618407464808,2.8943453194999718,10.377012319045557
15,Czech Republic,0.0,102097.8367,38.03666623,31928.948330000007,Not aided,-inf,11.533686815877356,3.638550595298328,10.37126834842979
16,Denmark,0.0,35014.35,19.54833349,47476.16667,Not aided,-inf,10.463513256444518,2.972890039319682,10.767983109786124
17,Estonia,0.0,17616.87833,30.72166665,28118.77333,Not aided,-inf,9.776612717506062,3.424968159737522,10.244192722284627
18,Finland,0.0,48091.48,22.40000026,42078.77167,Not aided,-inf,10.780860309427178,3.109060970468137,10.647298656633835
19,France,0.0,325601.18,21.05333328,39760.375,Not aided,-inf,12.69342853718258,3.0470588981860827,10.59062609231557
20,Greece,0.0,70731.54,15.82666683,26513.93167,Not aided,-inf,11.166646862732355,2.7616962913934926,10.185425597226411
21,"Hong Kong SAR, China",0.0,43823.095,12.14833323,54435.98333,Not aided,-inf,10.687916240504672,2.4971919776600986,10.904780672448991
22,Hungary,0.0,44566.275,30.30000019,25172.74,Not aided,-inf,10.704732686051221,3.4111477187859505,10.133516941958243
23,Iceland,0.0,1948.4,18.18999958,45739.66,Not aided,-inf,7.574763801932388,2.900871969440421,10.730721034230386
24,Ireland,0.0,35620.01667,17.60333316,55173.94333,Not aided,-inf,10.480663024839052,2.868088268204112,10.918246079695514
25,Israel,0.0,67492.35832999999,17.63666662,33977.59667,Not aided,-inf,11.119769660525968,2.869980065601928,10.433456664943549
26,Italy,0.0,358297.9883,27.09000015,37070.03667,Not aided,-inf,12.789120288708487,3.2991646616341024,10.520564285353892
27,Japan,0.0,1195178.587,25.10333347,38578.69333,Not aided,-inf,13.993806177370214,3.2230006448893147,10.560455416782986
28,"Korea, Rep.",0.0,595113.1517,25.4333334,35525.09,Not aided,-inf,13.296506837371938,3.2360606522435336,10.477994486389257
29,Kuwait,0.0,93680.85,23.36333339,66819.225,Not aided,-inf,11.447649071671938,3.1511678442695765,11.10974611751963
30,Latvia,0.0,7062.641667,23.65333335,23262.483330000006,Not aided,-inf,8.862574434297764,3.1635040500378366,10.054597184346273
31,Liechtenstein,0.0,51.95166667,0.0,0.0,Not aided,-inf,3.9503137992250315,-inf,-inf
32,Lithuania,0.0,13190.81167,25.01666641,27042.36,Not aided,-inf,9.487275780588332,3.2195422591515346,10.205159804454897
33,Luxembourg,0.0,9907.013333,12.26999998,99149.86333,Not aided,-inf,9.200998202788215,2.507157257092828,11.504387755530452
34,"Macao SAR, China",0.0,1644.038333,13.90500005,132399.0267,Not aided,-inf,7.404910892254266,2.632248491281757,11.793575571249566
35,Malta,0.0,2147.64,21.47500006,33834.60833,Not aided,-inf,7.6721248438173175,3.0668894706642655,10.429239472716363
36,Netherlands,0.0,172208.4333,16.67333317,49153.81167,Not aided,-inf,12.056460843644183,2.8138106269852816,10.802709674348593
37,New Zealand,0.0,33832.35333,20.31499958,36115.75333,Not aided,-inf,10.429172822760595,3.0113595087653113,10.494484429467176
38,Norway,0.0,45214.11167,20.13833332,63265.715,Not aided,-inf,10.71916452218295,3.0026251291490746,11.05509883422709
39,Oman,0.0,60965.71,34.37666702,38112.86,Not aided,-inf,11.01806685395296,3.5373780499381575,10.548307036971808
40,Poland,0.0,298322.6733,30.69333395,25300.095,Not aided,-inf,12.605930975995173,3.4240454958367423,10.138563429649274
41,Portugal,0.0,46953.49167,24.736667,28525.77667,Not aided,-inf,10.756912851839152,3.208286636789205,10.258563402054614
42,Qatar,0.0,96119.405,53.20999972,120727.1383,Not aided,-inf,11.473346499652303,3.9742463433461093,11.70128822274061
43,Romania,0.0,74733.46,28.72166634,20513.8,Not aided,-inf,11.221683195865905,3.357651762691903,9.928853109380423
44,Russian Federation,0.0,1746216.845,27.49166711,24524.73,Not aided,-inf,14.372962202973637,3.3138829445726343,10.10743727519865
45,Saudi Arabia,0.0,569562.72,23.21166674,53204.49833,Not aided,-inf,13.252624187499793,3.1446550289962762,10.881898226830344
46,Singapore,0.0,51416.22833,18.88333321,84317.19333,Not aided,-inf,10.847709127876799,2.938279692274573,11.342341077286665
47,Sint Maarten (Dutch part),0.0,715.0683333,0.0,36315.19167,Not aided,-inf,6.572378109176337,-inf,10.499991436010644
48,Slovak Republic,0.0,32467.61833,36.48000081,28271.38167,Not aided,-inf,10.387998512545249,3.596764187410078,10.249605323564792
49,Slovenia,0.0,13561.79,31.62833278,30730.36833,Not aided,-inf,9.51501155868208,3.45405332584297,10.333006641059859
50,Spain,0.0,250139.515,20.19000022,33622.86167,Not aided,-inf,12.42977410118681,3.0051874432212298,10.42296152142474
51,Sweden,0.0,44757.57,18.97166697,47178.575,Not aided,-inf,10.709015871407894,2.9429466540978253,10.761695149029483
52,Switzerland,0.0,36883.29667,21.38500055,60948.785,Not aided,-inf,10.515514062775345,3.0626897673978335,11.017789200338289
53,Trinidad and Tobago,0.0,45880.28167,28.21333345,29081.69,Not aided,-inf,10.733790710500834,3.3397946835770402,10.277864045502142
54,Turks and Caicos Islands,0.0,195.5733333,0.0,22201.40667,Not aided,-inf,5.275935415484467,-inf,10.007910929366501
55,United Arab Emirates,0.0,206560.8883,34.90999985,68275.48332999999,Not aided,-inf,12.238350506516614,3.5527733168201814,11.13130602548199
56,United Kingdom,0.0,429241.2983,18.86999989,40564.015,Not aided,-inf,12.969774506684706,2.9375733535511,10.610636622517836
57,United States,0.0,5146839.242,19.83666674,54078.46667,Not aided,-inf,15.45389334480731,2.987532080685509,10.89819135731933
0,Afghanistan,5308611735.0,9703.495,16.35166677,1961.268333,Aided,22.39259619451512,9.180241408874025,2.794329835266682,7.581346651613496
1,Albania,297665006.0,4953.505,18.13666662,11050.33167,Aided,19.511479271209733,8.507850685799877,2.897935669256668,9.310215721880061
2,Algeria,153398334.5,139031.8617,30.90999985,12750.56833,Aided,18.848548589602505,11.84245840670905,3.4310797512912266,9.4533311244951
3,Angola,257345001.2,35430.55667,7.741666714,7404.383333,Aided,19.365928159743824,10.475329909562225,2.0466170021458936,8.909827446124106
4,Antigua and Barbuda,3886666.665,532.325,0.0,19435.21167,Aided,15.173062449789695,6.277254205072462,-inf,9.874841734402729
5,Argentina,57013332.84,196107.4917,23.71333313,19865.35,Aided,17.858795707919953,12.186418214922323,3.166037469277558,9.89673228702125
6,Armenia,311374994.9,5266.423333,16.62999996,9656.083333,Aided,19.556508515167653,8.56910672668464,2.8112082907995446,9.175343392918256
7,Azerbaijan,144913333.9,36124.22833,14.24000009,15784.09,Aided,18.791646424451265,10.494719064079314,2.6560549123040547,9.66675774966288
