Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016)
Afghanistan,5308611735,9703.495,16.35166677,1961.268333
Albania,297665006,4953.505,18.13666662,11050.33167
Algeria,153398334.5,139031.8617,30.90999985,12750.56833
Angola,257345001.2,35430.55667,7.741666714,7404.383333
Antigua and Barbuda,3886666.665,532.325,0,19435.21167
Argentina,57013332.84,196107.4917,23.71333313,19865.35
Armenia,311374994.9,5266.423333,16.62999996,9656.083333
Aruba,0,1227.836667,0,35823.64333
Australia,0,375803.3267,20.17166678,45200.45333
Austria,0,61922.18333,25.84833336,48363.62833
Azerbaijan,144913333.9,36124.22833,14.24000009,15784.09
"Bahamas, The",0,2121.971667,15.44000006,32723.91667
Bahrain,0,30627.39667,35.17166646,48499.05667
Bangladesh,2295588338,73239.77,19.2549998,3245.758333
Barbados,0,1372.07,19.02499994,15597.91667
Belarus,88781668.04,61574.43,31.58499972,18047.65333
Belgium,0,97067.32167,21.79500008,44438.70667
Belize,33210000.04,539.0516667,15.7750001,7296.51
Benin,562900004.1,5470.553333,18.42499987,2718.261667
Bermuda,0,523.1583333,0,70576.10333
Bhutan,116103332.5,976.035,10.08166647,8637.003333
Bolivia,678728322.4,19379.48333,20.88666693,6616.2
Bosnia and Herzegovina,524620015.5,21318.10667,30.16333326,11302.18833
Botswana,92403334.31,5568.95,18.01833344,15276.54333
Brazil,979488342.1,485556.0283,22.37166659,15065.65333
Brunei Darussalam,0,8492.771667,18.34666634,76030.08667
Bulgaria,0,43765.03333,30.46333345,17404.635
Burkina Faso,1055101644,2922.598333,27.88333289,1698.365
Burundi,546640004.5,418.0383333,3.36833334,754.8783333
Cabo Verde,207008332.6,524.995,22.55666637,5940.675
Cambodia,753003336.6,6918.408333,21.32666683,3129.126667
Cameroon,706343332.9,6727.111667,13.6899999,3080.483333
Canada,0,532437.4,20.14166673,44175.86167
Cayman Islands,0,551.27,0,63864.66333
Central African Republic,384016670.2,289.6933333,6.845000029,868.595
Chad,502488332.1,954.0316667,2.089999993,1709.876667
Chile,141365000.4,81935.44833,23.47833316,22202.06167
China,-580913330.1,10058348.15,29.6299998,12087.06333
Colombia,1053653351,88075.23,19.9983333,12797.13667
Comoros,72111666.36,163.1816667,18.52666664,2629.223333
"Congo, Dem. Rep.",3009671672,3003.273333,9.226666927,801.8133333
"Congo, Rep.",139065001.2,3020.388333,22.79666646,5378.2
Costa Rica,60566666.93,7635.306667,18.22500007,15491.35167
Cote d'Ivoire,1302003326,9823.893333,11.83333333,3394.31
Croatia,0,17877.84833,27.35833295,22289.31833
Curacao,0,5776.258333,0,25766.49333
Cyprus,0,6519.926667,18.0716664,32112.875
Czech Republic,0,102097.8367,38.03666623,31928.94833
Denmark,0,35014.35,19.54833349,47476.16667
Djibouti,160660001.1,564.1066667,13.22666677,4415.023333
Dominica,17795000.24,169.905,0,10714.995
Dominican Republic,212086664.9,22791.015,18.16666699,13429.58
Ecuador,201133336.4,40173.20667,18.79999987,10855.055
"Egypt, Arab Rep.",2708191676,223819.6233,24.58666674,10933.48
El Salvador,167196669.3,6640.938333,21.13000011,7125.615
