,Country,Assitance 2011,Assitance 2012,Assitance 2013,Assitance 2014,Assitance 2015,Assitance 2016,CO2 2011,CO2  2012,CO2  2013,CO2  2014,CO2  2015,CO2 2016,Employment 2011,Employment 2012,Employment 2013,Employment 2014,Employment 2015,Employment 2016,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
0,Afghanistan,6745740234,6666770020,5152540039,4942970215,4274229980,4069419922,12240.45,10755.31,9050.16,8467.1,9035.49,8672.46,14.75,15.77000046,16.32999992,16.77000046,17.17000008,17.31999969,1699.49,1914.77,2015.51,2069.42,2087.31,1981.11
1,Albania,379480011,349160003.7,269980011,281170013.4,335160003.7,171039993.3,5240.14,4924.78,4913.78,5489.5,4616.75,4536.08,18.87000084,17.28000069,16.87999916,17.73999977,18.67000008,19.37999916,10207.73,10526.32,10570.97,11259.3,11658.87,12078.8
2,Algeria,193350006.1,147320007.3,203419998.2,160619995.1,71129997.25,144550003.1,121187.02,129987.82,134465.22,145411.22,153133.92,150005.97,30.86000061,30.80999947,30.95999908,30.95999908,30.92000008,30.95000076,13500.04,13303.33,13056.8,13003.27,12015.63,11624.34
3,Angola,192940002.4,243610000.6,285540008.5,235389999.4,380059997.6,206529998.8,30586.45,34176.44,33692.4,44851.08,34583.48,34693.49,7.960000038,7.940000057,7.860000134,7.730000019,7.570000172,7.389999866,6710.75,7412.97,7682.48,8179.3,7337.57,7103.23
4,Antigua and Barbuda,15420000.08,2089999.91,1590000.03,2549999.95,1490000.01,180000.01,513.38,524.38,524.38,528.05,546.38,557.38,0,0,0,0,0,0,20347.18,19597.59,18796.39,19039,18912.32,19918.79
5,Argentina,97050003.05,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.89,191622.75,193027.21,193701.94,195777.46,201167.95,201347.64,23.96999931,23.65999985,23.95000076,24.15999985,23.65999985,22.87999916,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87
6,Armenia,375989990.2,270559997.6,280359985.4,267429992.7,347480011,326429992.7,4917.45,5694.85,5496.83,5529.84,4803.77,5155.8,16.68000031,17.68000031,17,16.72999954,15.90999985,15.77999973,8025.45,9364.41,9835.83,10036.89,9969.69,10704.23
7,Aruba,0,0,0,0,0,0,2500.89,1349.46,861.75,872.75,898.42,883.75,0,0,0,0,0,0,34326.14,33569.19,36477.78,36444.26,36765.12,37359.37
8,Australia,0,0,0,0,0,0,391818.95,388126.28,372317.84,361316.84,365332.21,375907.84,20.82999992,20.70999908,20.45000076,20.29000092,19.38999939,19.36000061,41965.36,42826.79,45902.05,46880.22,46288.33,47339.97
9,Austria,0,0,0,0,0,0,65063.58,62324.33,62529.68,58903.02,61264.57,61447.92,26.03000069,26.07999992,25.90999985,25.75,25.76000023,25.55999947,44452.73,46457.35,47922.05,48799.72,49865.9,52684.02
10,Azerbaijan,287769989,286790008.5,-70830001.83,216740005.5,69580001.83,79430000.31,33248.69,35397.55,35496.56,37385.07,37597.75,37619.75,14.07999992,14.28999996,14.38000011,14.30000019,14.06000042,14.32999992,14804.57,15957.72,17188.95,17443.88,14938.4,14371.02
11,"Bahamas, The",0,0,0,0,0,0,1800.5,1906.84,2871.26,2350.55,2016.85,1785.83,15.97000027,15.96000004,15.52000046,15.38000011,14.93999958,14.86999989,31522.61,32216.43,31872.49,33154,33423.71,34154.26
12,Bahrain,0,0,0,0,0,0,28848.29,27553.84,31407.86,31367.52,32892.99,31693.88,35.20999908,34.97000122,35.09999847,35.22999954,35.15999985,35.36000061,47377.57,50675.58,51494.41,51101.9,45575.85,44769.03
13,Bangladesh,1437520020,2154050049,2633590088,2422639893,2592909912,2532820068,63233.75,67670.82,69456.65,73758.04,81073.7,84245.66,18.07999992,18.55999947,19.02000046,19.45000076,19.95999908,20.45999908,2620.82,2937.59,3143.52,3368,3555.51,3849.11
14,Barbados,0,0,0,0,0,0,1529.14,1470.47,1448.47,1254.11,1254.11,1276.12,18.54999924,18.53000069,18.95999908,19.43000031,19.36000061,19.31999969,16304.38,15310.01,15334.72,15175.5,15510.82,15952.07
15,Belarus,119800003.1,102870002.8,107139999.4,120610000.6,104580001.8,-22309999.47,64062.49,62969.72,63054.07,62801.04,58279.63,58279.63,31.96999931,31.79999924,31.64999962,31.48999977,31.06999969,31.53000069,16543.04,18071.51,18948.47,18955.91,18041.24,17725.75
16,Belgium,0,0,0,0,0,0,99969.75,95132.98,97501.86,93563.51,99346.36,96889.47,23.22999954,21.76000023,21.70000076,21.38999939,21.43000031,21.26000023,40942.37,42290.76,43671.12,44929.69,46200.9,48597.4
17,Belize,20989999.77,26209999.08,51270000.46,37560001.37,28270000.46,34959999.08,601.39,476.71,513.38,495.05,579.39,568.39,16.18000031,15.96000004,15.77000046,15.60999966,15.42000008,15.71000004,7684.82,7272.87,7226.99,7170.53,7244.39,7179.46
18,Benin,672609985.4,507880004.9,660200012.2,599320007.3,436630004.9,500760009.8,5060.46,4803.77,5042.13,5375.82,6065.22,6475.92,18.54999924,18.45999908,18.44000053,18.38999939,18.43000031,18.28000069,2416.33,2498.5,2669.69,2833.41,2886.83,3004.81
19,Bermuda,0,0,0,0,0,0,443.71,366.7,509.71,649.06,557.38,612.39,0,0,0,0,0,0,69998.84,67453.82,68993.23,68775.45,71873.23,76362.05
20,Bhutan,118650001.5,161649993.9,136800003.1,130639999.4,97279998.78,51599998.47,733.4,836.08,920.42,1037.76,1067.1,1261.45,9.199999809,9.909999847,10.96000004,10.82999992,9.649999619,9.93999958,7295.84,7912.13,7989.66,8666.42,9500.77,10457.2
21,Bolivia,545969970.7,661719970.7,702299987.8,674559997.6,791309997.6,696510009.8,16299.82,18819.04,19149.07,20329.85,20073.16,21605.96,20.94000053,20.60000038,19.82999992,20.62999916,22.53000069,20.79000092,5460.26,5921.65,6624.81,7056.83,7133.87,7499.78
22,Bosnia and Herzegovina,625780029.3,568020019.5,521210022,630200012.2,356390014.7,446119995.1,23886.84,22258.69,21921.33,19424.1,18569.69,21847.99,28.88999939,30.36000061,29.81999969,30,30.62999916,31.28000069,9976.45,10304.08,11016.54,11433.22,12010.72,13072.12
23,Botswana,118500000,73069999.69,107370002.8,99370002.75,65540000.92,90569999.69,4033.7,5082.46,5669.18,6857.29,5430.83,6340.24,18.06999969,18.04999924,18.03000069,18.01000023,18.01000023,17.94000053,14252.71,13590.52,14707.7,16300.87,15547.16,17260.3
24,Brazil,840690002.4,1288540039,1155729980,914150024.4,1003190002,674630004.9,439412.94,470028.73,503677.12,533530.17,504388.52,462298.69,22.30999947,23.02000046,22.95000076,22.88999939,22.17000008,20.88999939,15040.06,15046.29,15588.73,15718.57,14744.11,14256.16
25,Brunei Darussalam,0,0,0,0,0,0,9695.55,9666.21,7803.38,9053.82,7073.64,7664.03,18.95999908,18.78000069,18.80999947,18.62999916,17.92000008,16.97999954,83935.01,88247.73,83787.06,81373.02,62541.68,56296.02
26,Bulgaria,0,0,0,0,0,0,49354.15,44862.08,39599.93,42328.18,44737.4,41708.46,31.45999908,31.31999969,30.19000053,30.12000084,29.89999962,29.79000092,15667.31,16247.49,16588.93,17561.38,18343.11,20019.59
27,Burkina Faso,981979980.5,1152319946,1045079956,1123359985,998390014.7,1029479980,2200.2,2698.91,2929.93,2959.27,3329.64,3417.64,23.22999954,25.82999992,28.62999916,31.54999924,29.85000038,28.20999908,1586.57,1619.4,1683.11,1692.3,1713.52,1895.29
28,Burundi,572239990.2,524169982.9,558830017.1,515400024.4,366559997.6,742640014.7,425.37,388.7,410.7,385.04,403.37,495.05,3.130000114,3.25,3.369999886,3.5,3.480000019,3.480000019,681.97,690.69,740.98,777.04,841.65,796.94
29,Cabo Verde,251369995.1,245639999.4,245160003.7,231389999.4,153250000,115239997.9,616.06,506.05,498.71,491.38,495.05,542.72,22.96999931,22.82999992,22.65999985,22.48999977,22.30999947,22.07999992,5966.87,5818.97,5792.83,5748.17,5994.37,6322.84
30,Cambodia,691950012.2,807690002.4,808210022,802679992.7,679039978,728450012.2,5218.14,5456.5,5603.18,6684.94,8628.45,9919.24,16.46999931,17.76000023,19.28000069,23.77000046,24.92000008,25.76000023,2611.31,2868.74,3045.59,3185.34,3388.74,3675.04
31,Cameroon,612080017.1,597169982.9,751960022,856119995.1,664119995.1,756609985.4,6299.91,6024.88,5020.12,6798.62,7928.05,8291.09,12.71000004,13.17000008,13.61999989,14.07999992,14.22999954,14.32999992,2773.9,2855.45,3002.61,3185.36,3260.52,3405.06
32,Canada,0,0,0,0,0,0,522774.85,517721.73,519188.53,540614.81,549430.28,544894.2,20.29000092,20.45999908,20.32999992,20.18000031,19.92000008,19.67000008,41569.45,42290.97,44298.58,45753.75,44670.08,46472.34
33,Cayman Islands,0,0,0,0,0,0,586.72,535.38,535.38,546.38,557.38,546.38,0,0,0,0,0,0,64013.64,62801.23,62441.05,63067.42,64230.41,66634.23
34,Central African Republic,268769989,228020004.3,202820007.3,611000000,486730011,506760009.8,278.69,293.36,286.03,289.69,293.36,297.03,7.260000229,7.090000153,6.949999809,6.75,6.559999943,6.460000038,1012.66,1102.03,738.48,720.32,787.01,851.07
35,Chad,457660003.7,475130004.9,459339996.3,391929992.7,606409973.1,624460022,821.41,920.42,964.42,1001.09,1001.09,1015.76,2.130000114,2.140000105,2.109999895,2.089999914,2.059999943,2.00999999,1797.75,1730.79,1569.06,1677.09,1820.06,1664.51
36,Chile,161199997,128080001.8,80559997.56,245580001.8,54330001.83,178440002.4,79243.87,80974.69,83226.23,79100.86,83244.57,85822.47,23.37999916,23.82999992,23.87999916,23.48999977,23.28000069,23.01000023,20342.57,21507.71,22439.28,22786.66,22698.55,23437.6
37,China,-603609985.4,-180529998.8,-656549987.8,-947070007.3,-306290008.5,-791429992.7,9733538.12,10028573.94,10258007.13,10291926.88,10145004.86,9893037.95,29.5,30.29999924,30.10000038,29.89999962,29.18000031,28.79999924,10299.87,11197.6,11923.75,12549.77,12978.77,13572.62
38,Colombia,1013590027,764250000,857489990.2,1224170044,1355920044,1106500000,76926.33,80186.29,92734.76,86680.55,94109.89,97813.56,20.65999985,20.65999985,19.63999939,19.79000092,19.82999992,19.40999985,11604.1,12018.65,12727.76,13307.42,13265.8,13859.09
39,Comoros,55349998.47,101610000.6,81230003.36,74949996.95,65779998.78,53750000,135.68,143.01,176.02,154.01,168.68,201.69,17.5,17.98999977,18.52000046,19.03000069,19.06999969,19.04999924,2337.06,2511.49,2636.49,2716.83,2709.6,2863.87
40,"Congo, Dem. Rep.",5526459961,2846169922,2584010010,2400020020,2599040039,2102330078,2493.56,2405.55,3589.99,4671.76,2838.26,2020.52,8.81000042,8.960000038,9.140000343,9.340000153,9.520000458,9.590000153,668.94,669.57,753.49,849.76,905.45,963.67
